10211,고혜원,78,83
10212,배상혜,73,82
10213,주성연,78,59
10214,정연원,47,38
10215,손채호,58,55
10216,조연나,97,91
10217,허상나,80,87
10218,배현상,36,24
10219,이준지,36,50
10220,주진영,63,62
10221,이도은,46,44
10222,조윤태,83,51
10223,구준경,65,61
10224,이서원,79,44
10225,정도빈,94,89
10226,노빈예,62,69
10227,신채림,83,78
10228,홍호성,86,74
10229,고호유,93,58
10230,최상빈,74,74
10231,조은재,66,66
10232,구빈연,66,77
10233,고은주,75,49
10234,손유지,92,71
10235,최하태,56,65
10236,조현태,69,78
10237,전준성,89,83
10238,김아채,72,74
10239,문서영,89,76
10240,조우유,30,33
10241,조수훈,90,84
10242,한서연,80,90
10243,조하주,98,87
10244,주채동,95,100
10245,임채원,98,85
10246,유채준,35,88
10247,강빈아,77,87
10248,차연지,60,70
10249,황율혁,93,97
10250,고호준,89,89
10251,안승연,39,39
10252,문우연,23,30
10253,고혜호,80,76
10254,하예호,86,97
10255,심주혁,52,70
10256,하준지,34,79
10257,한승준,81,78
10258,황우혜,82,68
10259,손아유,56,69
10260,조율윤,69,66
10261,양수혁,91,78
10262,류동원,81,61
10263,구민서,87,81
10264,윤경수,57,73
10265,심훈민,89,85
10266,황재주,45,70
10267,노재성,81,85
10268,주승지,77,67
10269,오혜서,43,79
10270,곽원준,78,72
10271,백림태,56,96
10272,심율은,40,47
10273,오재지,76,74
10274,허은준,53,97
10275,송연경,77,71
10276,한상도,90,90
10277,허상성,47,44
10278,황상민,76,76
10279,구현동,62,68
10280,홍호율,89,71
10281,오경아,64,72
10282,성도영,64,69
10283,조혜서,35,42
10284,성연주,21,30
10285,홍동진,32,29
10286,성현빈,82,91
10287,한호승,98,91
10288,차유연,75,91
10289,배우서,69,51
10290,홍영지,28,47
10291,조지원,66,61
10292,구유상,35,33
10293,심민상,90,87
10294,남우민,61,64
10295,박유재,73,70
10296,송혜빈,92,75
10297,배아준,65,67
10298,노도동,66,90
10299,노혜윤,26,41
10300,조훈경,31,76
10301,차진준,73,80
10302,황준상,57,42
10303,조아빈,98,80
10304,성지호,90,96
10305,문호영,52,42
10306,송재진,28,20
10307,홍원재,36,40
10308,배혜상,49,49
10309,강은채,71,83
10310,송도빈,85,89
10311,최예지,76,46
10312,남원주,25,40
10313,박림주,41,92
10314,배경주,53,36
10315,우예혁,69,85
10316,서혜지,54,34
10317,류재태,85,61
10318,홍동민,70,60
10319,차민연,39,50
10320,전율연,29,53
10321,유태빈,73,72
10322,신태호,97,88
10323,차예나,23,34
10324,주아림,68,74
10325,전승성,80,69
10326,박유율,99,84
10327,장태혁,84,96
10328,곽도영,88,100
10329,전원승,68,68
10330,서동승,82,77
10331,최수준,75,77
10332,류수동,94,93
10333,임혁윤,61,78
10334,오빈유,88,62
10335,임우주,89,93
10336,유동재,32,32
10337,강동나,77,52
10338,우준서,69,75
10339,신원영,71,73
10340,황재경,73,58
10341,심원혜,51,41
10342,박재진,74,57
10343,손재수,97,95
10344,심원승,55,73
10345,정상호,35,31
10346,김진채,70,81
10347,류민혜,37,52
10348,송경서,31,42
10349,강연영,33,51
10350,김율서,73,52
10351,조림동,73,58
10352,박주나,64,84
10353,차수나,84,77
10354,강아혁,63,53
10355,우성경,71,88
10356,주호서,100,95
10357,손지예,65,63
10358,오채재,93,76
10359,강승재,24,41
10360,송우아,69,69
10361,안상승,76,54
10362,손혜지,63,53
10363,심상경,50,36
10364,이상원,43,71
10365,조호도,65,67
10366,허혁원,73,80
10367,양율혜,85,76
10368,차혁호,70,58
10369,하재율,67,83
10370,임은민,61,68
10371,남은예,44,35
10372,조호하,27,24
10373,유수유,77,52
10374,손민진,92,79
10375,곽주지,73,75
10376,주예은,51,76
10377,홍도우,80,67
10378,손유아,88,84
10379,허빈영,31,33
10380,심유아,43,56
10381,권우현,86,100
10382,성아훈,75,81
10383,신혁예,81,50
10384,박채은,59,97
10385,황진승,60,46
10386,신혜혜,92,81
10387,노혁호,80,81
10388,홍혜태,44,41
10389,허서경,38,82
10390,유상지,93,80
10391,문나경,71,58
10392,장재원,75,68
10393,한채민,18,19
10394,한영영,68,81
10395,최성우,31,49
10396,권윤채,68,98
10397,남서성,35,59
10398,장연호,75,57
10399,신빈하,99,84
10400,손은채,32,37
10928,차정우,100,100
